ind_age,ind_gender,X_index,X_parent_table_name,X_parent_index,X_submission__id,X_submission__uuid,X_submission__submission_time,X_submission__validation_status
3,male,1,BGD1906 Joint Child Protection Assessment -- adolescent survey,29,86428495,f62a7590-7b42-4072-8b08-cb1f18df7461,2020-03-02T08:22:55,NA
6,female,2,BGD1906 Joint Child Protection Assessment -- adolescent survey,29,86428495,f62a7590-7b42-4072-8b08-cb1f18df7461,2020-03-02T08:22:55,NA
8,female,3,BGD1906 Joint Child Protection Assessment -- adolescent survey,29,86428495,f62a7590-7b42-4072-8b08-cb1f18df7461,2020-03-02T08:22:55,NA
11,male,4,BGD1906 Joint Child Protection Assessment -- adolescent survey,29,86428495,f62a7590-7b42-4072-8b08-cb1f18df7461,2020-03-02T08:22:55,NA
19,male,5,BGD1906 Joint Child Protection Assessment -- adolescent survey,29,86428495,f62a7590-7b42-4072-8b08-cb1f18df7461,2020-03-02T08:22:55,NA
40,female,6,BGD1906 Joint Child Protection Assessment -- adolescent survey,29,86428495,f62a7590-7b42-4072-8b08-cb1f18df7461,2020-03-02T08:22:55,NA
48,male,7,BGD1906 Joint Child Protection Assessment -- adolescent survey,29,86428495,f62a7590-7b42-4072-8b08-cb1f18df7461,2020-03-02T08:22:55,NA
18,female,8,BGD1906 Joint Child Protection Assessment -- adolescent survey,33,86254943,6eb9f075-5ec5-4e05-bbf7-617e6501103f,2020-02-29T09:47:16,NA
40,female,9,BGD1906 Joint Child Protection Assessment -- adolescent survey,33,86254943,6eb9f075-5ec5-4e05-bbf7-617e6501103f,2020-02-29T09:47:16,NA
55,male,10,BGD1906 Joint Child Protection Assessment -- adolescent survey,33,86254943,6eb9f075-5ec5-4e05-bbf7-617e6501103f,2020-02-29T09:47:16,NA
15,female,11,BGD1906 Joint Child Protection Assessment -- adolescent survey,34,86254946,7d4a180e-52ca-4317-90c0-4738f28e2819,2020-02-29T09:47:24,NA
40,female,12,BGD1906 Joint Child Protection Assessment -- adolescent survey,34,86254946,7d4a180e-52ca-4317-90c0-4738f28e2819,2020-02-29T09:47:24,NA
13,female,13,BGD1906 Joint Child Protection Assessment -- adolescent survey,36,86254939,8206311b-abab-46b6-96ca-045f74f7104b,2020-02-29T09:47:05,NA
15,female,14,BGD1906 Joint Child Protection Assessment -- adolescent survey,36,86254939,8206311b-abab-46b6-96ca-045f74f7104b,2020-02-29T09:47:05,NA
17,female,15,BGD1906 Joint Child Protection Assessment -- adolescent survey,36,86254939,8206311b-abab-46b6-96ca-045f74f7104b,2020-02-29T09:47:05,NA
48,female,16,BGD1906 Joint Child Protection Assessment -- adolescent survey,36,86254939,8206311b-abab-46b6-96ca-045f74f7104b,2020-02-29T09:47:05,NA
55,male,17,BGD1906 Joint Child Protection Assessment -- adolescent survey,36,86254939,8206311b-abab-46b6-96ca-045f74f7104b,2020-02-29T09:47:05,NA
